;;;Кол-во точек;Определение;Эндрю
7,119;0,119;;500;119;7
4,841;0,841;;1000;841;4
15,1952;0,1952;;1500;1952;15
15,268;0,268;;2000;268;15
6,2227;0,2227;;2500;2227;6
7,3332;0,3332;;3000;3332;7
15,4825;0,4825;;3500;4825;15
12,6741;0,6741;;4000;6741;12
12,5837;0,5837;;4500;5837;12
21,8526;0,8526;;5000;8526;21
19,1042;0,1042;;5500;1042;19
19,14449;0,14449;;6000;14449;19
20,15699;0,15699;;6500;15699;20
27,18621;0,18621;;7000;18621;27
23,24611;0,24611;;7500;24611;23
29,21247;0,21247;;8000;21247;29
27,27282;0,27282;;8500;27282;27
28,30172;0,30172;;9000;30172;28
30,33176;0,33176;;9500;33176;30
